,學年度,設立別,學校類別,學校統計處代碼,學校名稱,單位代碼,單位名稱,兼任教師數-教師總數總計,兼任教師數-教師總數男,兼任教師數-教師總數女,兼任教師數-教授男,兼任教師數-教授女,兼任教師數-副教授男,兼任教師數-副教授女,兼任教師數-助理教授男,兼任教師數-助理教授女,兼任教師數-講師男,兼任教師數-講師女,兼任教師數-其他教師男,兼任教師數-其他教師女,兼任助理教授以上人數-總計,兼任助理教授以上人數-男,兼任助理教授以上人數-女,兼任講師以上人數-總計,兼任講師以上人數-男,兼任講師以上人數-女
0,106,公立,技專校院,51,國立臺北商業大學,02112007,數位多媒體設計系,13,9,4,0,0,0,0,1,2,8,2,0,0,3,1,2,13,9,4
1,106,公立,技專校院,51,國立臺北商業大學,02123019,商品創意經營系,10,5,5,1,0,0,0,1,0,3,5,0,0,2,2,0,10,5,5
2,106,公立,技專校院,51,國立臺北商業大學,02311006,應用外語系,58,35,23,0,0,5,1,9,12,21,10,0,0,27,14,13,58,35,23
3,106,公立,技專校院,51,國立臺北商業大學,04111009,會計資訊系,51,30,21,2,0,7,6,4,2,17,13,0,0,21,13,8,51,30,21
4,106,公立,技專校院,51,國立臺北商業大學,04121013,財務金融系,20,15,5,0,0,0,0,5,0,10,5,0,0,5,5,0,20,15,5
5,106,公立,技專校院,51,國立臺北商業大學,04122014,財政稅務系,39,20,19,1,1,1,4,6,4,12,10,0,0,17,8,9,39,20,19
6,106,公立,技專校院,51,國立臺北商業大學,04131010,企業管理系,110,65,45,1,1,3,3,16,9,45,32,0,0,33,20,13,110,65,45
7,106,公立,技專校院,51,國立臺北商業大學,04141012,國際商務系,46,23,23,1,0,2,1,5,3,15,19,0,0,12,8,4,46,23,23
8,106,公立,技專校院,51,國立臺北商業大學,04199015,商業設計管理系,10,6,4,0,0,0,0,0,1,6,3,0,0,1,0,1,10,6,4
9,106,公立,技專校院,51,國立臺北商業大學,04199021,貿易實務法律暨談判碩士學位學程,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1
10,106,公立,技專校院,51,國立臺北商業大學,06131017,資訊管理系,30,19,11,0,1,3,1,6,0,10,9,0,0,11,9,2,30,19,11
11,106,公立,技專校院,51,國立臺北商業大學,06131018,資訊與決策科學研究所,2,2,0,0,0,0,0,2,0,0,0,0,0,2,2,0,2,2,0
12,106,公立,技專校院,51,國立臺北商業大學,99999Z01,通識教育中心,69,31,38,0,0,3,3,14,24,14,11,0,0,44,17,27,69,31,38
13,106,公立,技專校院,51,國立臺北商業大學,99999Z03,軍訓教官,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
14,106,公立,技專校院,51,國立臺北商業大學,99999Z07,體育室,17,11,6,0,0,1,3,4,0,6,3,0,0,8,5,3,17,11,6
15,107,公立,技專校院,51,國立臺北商業大學,02112007,數位多媒體設計系,14,10,4,0,0,0,0,1,1,9,3,0,0,2,1,1,14,10,4
16,107,公立,技專校院,51,國立臺北商業大學,02123019,商品創意經營系,6,4,2,0,0,0,0,1,0,3,2,0,0,1,1,0,6,4,2
17,107,公立,技專校院,51,國立臺北商業大學,02311006,應用外語系,42,23,19,0,0,3,1,1,10,19,8,0,0,15,4,11,42,23,19
18,107,公立,技專校院,51,國立臺北商業大學,04111009,會計資訊系,47,32,15,3,0,6,2,5,3,18,10,0,0,19,14,5,47,32,15
19,107,公立,技專校院,51,國立臺北商業大學,04121013,財務金融系,16,14,2,0,0,0,0,4,0,10,2,0,0,4,4,0,16,14,2
20,107,公立,技專校院,51,國立臺北商業大學,04122014,財政稅務系,31,18,13,1,1,1,4,6,4,10,4,0,0,17,8,9,31,18,13
21,107,公立,技專校院,51,國立臺北商業大學,04131010,企業管理系,59,37,22,1,1,1,2,9,4,26,15,0,0,18,11,7,59,37,22
22,107,公立,技專校院,51,國立臺北商業大學,04141012,國際商務系,36,18,18,1,0,2,1,3,3,12,14,0,0,10,6,4,36,18,18
23,107,公立,技專校院,51,國立臺北商業大學,04199015,商業設計管理系,16,9,7,0,0,0,0,5,0,4,7,0,0,5,5,0,16,9,7
24,107,公立,技專校院,51,國立臺北商業大學,06131017,資訊管理系,27,20,7,0,1,3,1,6,0,11,5,0,0,11,9,2,27,20,7
25,107,公立,技專校院,51,國立臺北商業大學,06131018,資訊與決策科學研究所,2,2,0,0,0,1,0,1,0,0,0,0,0,2,2,0,2,2,0
26,107,公立,技專校院,51,國立臺北商業大學,99999Z01,通識教育中心,59,27,32,0,0,2,2,15,19,10,11,0,0,38,17,21,59,27,32
27,107,公立,技專校院,51,國立臺北商業大學,99999Z03,軍訓教官,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
28,107,公立,技專校院,51,國立臺北商業大學,99999Z07,體育室,15,11,4,0,0,2,1,3,1,6,2,0,0,7,5,2,15,11,4
29,108,公立,技專校院,51,國立臺北商業大學,02112007,數位多媒體設計系,10,8,2,0,0,0,0,0,1,8,1,0,0,1,0,1,10,8,2
30,108,公立,技專校院,51,國立臺北商業大學,02123019,商品創意經營系,8,4,4,0,0,1,0,0,0,3,4,0,0,1,1,0,8,4,4
31,108,公立,技專校院,51,國立臺北商業大學,02311006,應用外語系,34,20,14,0,0,1,0,5,8,14,6,0,0,14,6,8,34,20,14
32,108,公立,技專校院,51,國立臺北商業大學,04111009,會計資訊系,41,30,11,3,0,6,1,6,2,15,8,0,0,18,15,3,41,30,11
33,108,公立,技專校院,51,國立臺北商業大學,04121013,財務金融系,16,14,2,0,0,0,0,3,0,11,2,0,0,3,3,0,16,14,2
34,108,公立,技專校院,51,國立臺北商業大學,04122014,財政稅務系,29,17,12,0,1,2,3,6,2,9,6,0,0,14,8,6,29,17,12
35,108,公立,技專校院,51,國立臺北商業大學,04131010,企業管理系,57,37,20,2,1,2,1,9,6,24,12,0,0,21,13,8,57,37,20
36,108,公立,技專校院,51,國立臺北商業大學,04141012,國際商務系,32,16,16,0,0,1,1,3,2,12,13,0,0,7,4,3,32,16,16
37,108,公立,技專校院,51,國立臺北商業大學,04199015,商業設計管理系,16,6,10,0,0,0,0,1,1,5,9,0,0,2,1,1,16,6,10
38,108,公立,技專校院,51,國立臺北商業大學,04199Y70,財經學院,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
39,108,公立,技專校院,51,國立臺北商業大學,06131017,資訊管理系,26,19,7,0,1,3,0,5,1,11,5,0,0,10,8,2,26,19,7
40,108,公立,技專校院,51,國立臺北商業大學,06131018,資訊與決策科學研究所,2,2,0,1,0,0,0,1,0,0,0,0,0,2,2,0,2,2,0
41,108,公立,技專校院,51,國立臺北商業大學,99999Z01,通識教育中心,49,22,27,0,0,2,2,13,17,7,8,0,0,34,15,19,49,22,27
42,108,公立,技專校院,51,國立臺北商業大學,99999Z07,體育室,14,10,4,0,0,1,1,3,1,6,2,0,0,6,4,2,14,10,4
43,109,公立,技專校院,51,國立臺北商業大學,02112007,數位多媒體設計系,10,9,1,0,0,0,0,2,0,7,1,0,0,2,2,0,10,9,1
44,109,公立,技專校院,51,國立臺北商業大學,02122015,商業設計管理系,18,9,9,0,0,0,0,2,0,7,9,0,0,2,2,0,18,9,9
45,109,公立,技專校院,51,國立臺北商業大學,02122026,創意科技與產品設計系,8,4,4,0,0,0,0,1,1,3,3,0,0,2,1,1,8,4,4
46,109,公立,技專校院,51,國立臺北商業大學,02311006,應用外語系,40,30,10,0,0,2,1,6,2,22,7,0,0,11,8,3,40,30,10
47,109,公立,技專校院,51,國立臺北商業大學,04111009,會計資訊系,32,24,8,3,0,4,0,5,1,12,7,0,0,13,12,1,32,24,8
48,109,公立,技專校院,51,國立臺北商業大學,04121013,財務金融系,11,8,3,0,0,1,0,1,0,6,3,0,0,2,2,0,11,8,3
49,109,公立,技專校院,51,國立臺北商業大學,04122014,財政稅務系,30,16,14,0,1,2,3,5,5,9,5,0,0,16,7,9,30,16,14
50,109,公立,技專校院,51,國立臺北商業大學,04131010,企業管理系,101,54,47,3,2,4,3,14,13,33,29,0,0,39,21,18,101,54,47
51,109,公立,技專校院,51,國立臺北商業大學,04141012,國際商務系,32,17,15,1,0,1,1,3,4,12,10,0,0,10,5,5,32,17,15
52,109,公立,技專校院,51,國立臺北商業大學,06131017,資訊管理系,26,21,5,0,1,4,0,6,1,11,3,0,0,12,10,2,26,21,5
53,109,公立,技專校院,51,國立臺北商業大學,06131018,資訊與決策科學研究所,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0
54,109,公立,技專校院,51,國立臺北商業大學,99999Z01,通識教育中心,47,20,27,0,0,2,2,11,16,7,9,0,0,31,13,18,47,20,27
55,109,公立,技專校院,51,國立臺北商業大學,99999Z07,體育室,12,8,4,0,1,1,1,3,1,4,1,0,0,7,4,3,12,8,4
56,110,公立,技專校院,51,國立臺北商業大學,02112007,數位多媒體設計系,14,12,2,0,0,0,0,4,0,8,2,0,0,4,4,0,14,12,2
57,110,公立,技專校院,51,國立臺北商業大學,02122015,商業設計管理系,14,8,6,0,0,0,0,2,0,6,6,0,0,2,2,0,14,8,6
58,110,公立,技專校院,51,國立臺北商業大學,02122026,創意科技與產品設計系,4,3,1,0,0,0,0,1,0,2,1,0,0,1,1,0,4,3,1
59,110,公立,技專校院,51,國立臺北商業大學,02311006,應用外語系,44,25,19,0,0,2,0,4,3,19,16,0,0,9,6,3,44,25,19
60,110,公立,技專校院,51,國立臺北商業大學,04111009,會計資訊系,24,17,7,3,0,3,0,8,1,3,6,0,0,15,14,1,24,17,7
61,110,公立,技專校院,51,國立臺北商業大學,04111027,會計與資料科學科,8,5,3,0,0,1,0,1,1,3,2,0,0,3,2,1,8,5,3
62,110,公立,技專校院,51,國立臺北商業大學,04121013,財務金融系,14,10,4,0,0,0,0,2,0,8,4,0,0,2,2,0,14,10,4
63,110,公立,技專校院,51,國立臺北商業大學,04122014,財政稅務系,31,18,13,0,1,2,3,5,4,11,5,0,0,15,7,8,31,18,13
64,110,公立,技專校院,51,國立臺北商業大學,04131010,企業管理系,92,53,39,3,2,7,6,15,11,28,20,0,0,44,25,19,92,53,39
65,110,公立,技專校院,51,國立臺北商業大學,04141012,國際商務系,30,17,13,0,0,1,0,3,3,13,10,0,0,7,4,3,30,17,13
66,110,公立,技專校院,51,國立臺北商業大學,04199Y70,財經學院,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
67,110,公立,技專校院,51,國立臺北商業大學,06131017,資訊管理系,27,23,4,0,1,4,1,8,0,11,2,0,0,14,12,2,27,23,4
68,110,公立,技專校院,51,國立臺北商業大學,99999Z01,通識教育中心,42,16,26,0,0,1,2,8,15,7,9,0,0,26,9,17,42,16,26
69,110,公立,技專校院,51,國立臺北商業大學,99999Z03,軍訓教官,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
70,110,公立,技專校院,51,國立臺北商業大學,99999Z07,體育室,12,8,4,1,1,0,0,3,1,4,2,0,0,6,4,2,12,8,4
71,111,公立,技專校院,51,國立臺北商業大學,02112007,數位多媒體設計系,12,11,1,0,0,0,0,2,0,9,1,0,0,2,2,0,12,11,1
72,111,公立,技專校院,51,國立臺北商業大學,02122015,商業設計管理系,13,7,6,0,0,0,0,2,0,5,6,0,0,2,2,0,13,7,6
73,111,公立,技專校院,51,國立臺北商業大學,02122026,創意科技與產品設計系,3,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,3,2,1
74,111,公立,技專校院,51,國立臺北商業大學,02311006,應用外語系,38,24,14,1,0,3,0,3,1,17,13,0,0,8,7,1,38,24,14
75,111,公立,技專校院,51,國立臺北商業大學,04111009,會計資訊系,29,17,12,2,0,4,0,8,3,3,9,0,0,17,14,3,29,17,12
76,111,公立,技專校院,51,國立臺北商業大學,04111027,會計與資料科學科,6,5,1,1,0,1,0,1,0,2,1,0,0,3,3,0,6,5,1
77,111,公立,技專校院,51,國立臺北商業大學,04121013,財務金融系,14,10,4,0,0,0,0,3,1,7,3,0,0,4,3,1,14,10,4
78,111,公立,技專校院,51,國立臺北商業大學,04122014,財政稅務系,32,18,14,0,1,2,3,7,5,9,5,0,0,18,9,9,32,18,14
79,111,公立,技專校院,51,國立臺北商業大學,04131010,企業管理系,70,44,26,3,0,7,6,12,5,22,15,0,0,33,22,11,70,44,26
80,111,公立,技專校院,51,國立臺北商業大學,04141012,國際商務系,34,18,16,0,0,1,0,5,7,12,9,0,0,13,6,7,34,18,16
81,111,公立,技專校院,51,國立臺北商業大學,06131017,資訊管理系,28,23,5,0,1,4,1,7,0,12,3,0,0,13,11,2,28,23,5
82,111,公立,技專校院,51,國立臺北商業大學,06131018,資訊與決策科學研究所,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
83,111,公立,技專校院,51,國立臺北商業大學,99999Z01,通識教育中心,60,27,33,2,0,3,2,15,20,7,11,0,0,42,20,22,60,27,33
84,111,公立,技專校院,51,國立臺北商業大學,99999Z03,軍訓教官,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
85,111,公立,技專校院,51,國立臺北商業大學,99999Z07,體育室,14,9,5,1,1,0,0,4,1,4,3,0,0,7,5,2,14,9,5
86,112,公立,技專校院,51,國立臺北商業大學,02112007,數位多媒體設計系,10,7,3,0,0,0,0,2,1,5,2,0,0,3,2,1,10,7,3
87,112,公立,技專校院,51,國立臺北商業大學,02122015,商業設計管理系,12,8,4,0,0,0,0,3,0,5,4,0,0,3,3,0,12,8,4
88,112,公立,技專校院,51,國立臺北商業大學,02122024,創意設計與經營研究所,2,1,1,0,0,0,1,1,0,0,0,0,0,2,1,1,2,1,1
89,112,公立,技專校院,51,國立臺北商業大學,02122026,創意科技與產品設計系,4,3,1,0,0,0,0,1,0,2,1,0,0,1,1,0,4,3,1
90,112,公立,技專校院,51,國立臺北商業大學,02311006,應用外語系,39,25,14,1,0,3,0,3,3,18,11,0,0,10,7,3,39,25,14
91,112,公立,技專校院,51,國立臺北商業大學,04111009,會計資訊系,27,18,9,2,0,4,0,8,2,4,7,0,0,16,14,2,27,18,9
92,112,公立,技專校院,51,國立臺北商業大學,04111027,會計與資料科學科,4,4,0,0,0,1,0,0,0,3,0,0,0,1,1,0,4,4,0
93,112,公立,技專校院,51,國立臺北商業大學,04121013,財務金融系,14,10,4,0,0,0,0,4,1,6,3,0,0,5,4,1,14,10,4
94,112,公立,技專校院,51,國立臺北商業大學,04122014,財政稅務系,31,17,14,0,1,3,3,5,6,9,4,0,0,18,8,10,31,17,14
95,112,公立,技專校院,51,國立臺北商業大學,04131010,企業管理系,49,28,21,2,0,6,6,8,4,12,11,0,0,26,16,10,49,28,21
96,112,公立,技專校院,51,國立臺北商業大學,04141012,國際商務系,30,15,15,0,0,3,0,4,6,8,9,0,0,13,7,6,30,15,15
97,112,公立,技專校院,51,國立臺北商業大學,06131017,資訊管理系,27,20,7,0,1,4,3,6,0,10,3,0,0,14,10,4,27,20,7
98,112,公立,技專校院,51,國立臺北商業大學,99999Z01,通識教育中心,65,30,35,2,0,2,1,17,23,9,11,0,0,45,21,24,65,30,35
99,112,公立,技專校院,51,國立臺北商業大學,99999Z03,軍訓教官,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
100,112,公立,技專校院,51,國立臺北商業大學,99999Z07,體育室,15,10,5,1,1,0,0,4,1,5,3,0,0,7,5,2,15,10,5
