,學年度,設立別,學校類別,學校統計處代碼,學校名稱,單位代碼,單位名稱,專任教師數-教師總數總計,專任教師數-教師總數男,專任教師數-教師總數女,專任教師數-教授男,專任教師數-教授女,專任教師數-副教授男,專任教師數-副教授女,專任教師數-助理教授男,專任教師數-助理教授女,專任教師數-講師男,專任教師數-講師女,專任教師數-其他教師男,專任教師數-其他教師女,專任助理教授以上人數-總計,專任助理教授以上人數-男,專任助理教授以上人數-女,專任講師以上人數-總計,專任講師以上人數-男,專任講師以上人數-女
0,106,公立,技專校院,51,國立臺北商業大學,02112007,數位多媒體設計系,8,5,3,1,0,1,0,3,3,0,0,0,0,8,5,3,8,5,3
1,106,公立,技專校院,51,國立臺北商業大學,02123019,商品創意經營系,6,3,3,0,0,0,2,3,1,0,0,0,0,6,3,3,6,3,3
2,106,公立,技專校院,51,國立臺北商業大學,02311006,應用外語系,15,4,11,0,1,3,6,1,1,0,3,0,0,12,4,8,15,4,11
3,106,公立,技專校院,51,國立臺北商業大學,04111009,會計資訊系,20,8,12,3,4,3,6,1,1,1,1,0,0,18,7,11,20,8,12
4,106,公立,技專校院,51,國立臺北商業大學,04121013,財務金融系,21,10,11,2,1,7,5,0,1,1,3,0,1,16,9,7,20,10,10
5,106,公立,技專校院,51,國立臺北商業大學,04122014,財政稅務系,15,6,9,1,1,5,2,0,1,0,4,0,1,10,6,4,14,6,8
6,106,公立,技專校院,51,國立臺北商業大學,04131010,企業管理系,20,14,6,4,0,8,5,0,0,2,1,0,0,17,12,5,20,14,6
7,106,公立,技專校院,51,國立臺北商業大學,04141012,國際商務系,25,13,12,3,1,6,6,0,2,4,3,0,0,18,9,9,25,13,12
8,106,公立,技專校院,51,國立臺北商業大學,04199015,商業設計管理系,8,5,3,1,0,1,1,3,2,0,0,0,0,8,5,3,8,5,3
9,106,公立,技專校院,51,國立臺北商業大學,04199021,貿易實務法律暨談判碩士學位學程,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
10,106,公立,技專校院,51,國立臺北商業大學,06131017,資訊管理系,18,11,7,3,0,6,3,1,0,1,4,0,0,13,10,3,18,11,7
11,106,公立,技專校院,51,國立臺北商業大學,06131018,資訊與決策科學研究所,6,6,0,4,0,2,0,0,0,0,0,0,0,6,6,0,6,6,0
12,106,公立,技專校院,51,國立臺北商業大學,99999Z01,通識教育中心,19,10,9,0,1,4,4,6,1,0,2,0,1,16,10,6,18,10,8
13,106,公立,技專校院,51,國立臺北商業大學,99999Z03,軍訓教官,13,8,5,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0
14,106,公立,技專校院,51,國立臺北商業大學,99999Z07,體育室,13,8,5,2,1,2,2,1,2,2,0,1,0,10,5,5,12,7,5
15,107,公立,技專校院,51,國立臺北商業大學,02112007,數位多媒體設計系,7,4,3,0,0,1,0,3,3,0,0,0,0,7,4,3,7,4,3
16,107,公立,技專校院,51,國立臺北商業大學,02122024,創意設計與經營研究所,3,3,0,1,0,0,0,2,0,0,0,0,0,3,3,0,3,3,0
17,107,公立,技專校院,51,國立臺北商業大學,02123019,商品創意經營系,7,4,3,0,1,0,1,4,1,0,0,0,0,7,4,3,7,4,3
18,107,公立,技專校院,51,國立臺北商業大學,02199Y74,創新經營學院,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1
19,107,公立,技專校院,51,國立臺北商業大學,02311006,應用外語系,16,5,11,0,1,3,6,2,2,0,2,0,0,14,5,9,16,5,11
20,107,公立,技專校院,51,國立臺北商業大學,04111009,會計資訊系,20,8,12,4,4,3,6,1,1,0,1,0,0,19,8,11,20,8,12
21,107,公立,技專校院,51,國立臺北商業大學,04121013,財務金融系,20,10,10,3,1,6,5,0,1,1,3,0,0,16,9,7,20,10,10
22,107,公立,技專校院,51,國立臺北商業大學,04122014,財政稅務系,14,6,8,1,1,5,4,0,1,0,2,0,0,12,6,6,14,6,8
23,107,公立,技專校院,51,國立臺北商業大學,04131010,企業管理系,25,16,9,4,1,10,6,0,0,2,2,0,0,21,14,7,25,16,9
24,107,公立,技專校院,51,國立臺北商業大學,04141012,國際商務系,25,13,12,3,2,6,5,0,2,4,3,0,0,18,9,9,25,13,12
25,107,公立,技專校院,51,國立臺北商業大學,04199015,商業設計管理系,7,4,3,0,0,2,1,2,2,0,0,0,0,7,4,3,7,4,3
26,107,公立,技專校院,51,國立臺北商業大學,04199021,貿易實務法律暨談判碩士學位學程,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
27,107,公立,技專校院,51,國立臺北商業大學,04199Y70,財經學院博士班,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0
28,107,公立,技專校院,51,國立臺北商業大學,06131017,資訊管理系,19,12,7,4,0,5,4,2,0,1,3,0,0,15,11,4,19,12,7
29,107,公立,技專校院,51,國立臺北商業大學,06131018,資訊與決策科學研究所,5,5,0,5,0,0,0,0,0,0,0,0,0,5,5,0,5,5,0
30,107,公立,技專校院,51,國立臺北商業大學,99999Z01,通識教育中心,20,13,7,1,0,3,4,9,1,0,1,0,1,18,13,5,19,13,6
31,107,公立,技專校院,51,國立臺北商業大學,99999Z03,軍訓教官,13,8,5,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0
32,107,公立,技專校院,51,國立臺北商業大學,99999Z07,體育室,9,5,4,2,2,0,0,0,2,2,0,1,0,6,2,4,8,4,4
33,108,公立,技專校院,51,國立臺北商業大學,02112007,數位多媒體設計系,8,4,4,0,0,1,0,3,4,0,0,0,0,8,4,4,8,4,4
34,108,公立,技專校院,51,國立臺北商業大學,02122024,創意設計與經營研究所,3,3,0,1,0,0,0,2,0,0,0,0,0,3,3,0,3,3,0
35,108,公立,技專校院,51,國立臺北商業大學,02123019,商品創意經營系,5,3,2,1,1,0,1,2,0,0,0,0,0,5,3,2,5,3,2
36,108,公立,技專校院,51,國立臺北商業大學,02199Y74,創新經營學院,2,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,2
37,108,公立,技專校院,51,國立臺北商業大學,02311006,應用外語系,16,6,10,0,1,3,6,3,1,0,2,0,0,14,6,8,16,6,10
38,108,公立,技專校院,51,國立臺北商業大學,04111009,會計資訊系,19,7,12,4,4,2,6,1,1,0,1,0,0,18,7,11,19,7,12
39,108,公立,技專校院,51,國立臺北商業大學,04121013,財務金融系,19,9,10,2,2,6,4,0,1,1,3,0,0,15,8,7,19,9,10
40,108,公立,技專校院,51,國立臺北商業大學,04122014,財政稅務系,14,6,8,1,2,5,3,0,1,0,2,0,0,12,6,6,14,6,8
41,108,公立,技專校院,51,國立臺北商業大學,04131010,企業管理系,33,21,12,6,3,10,6,4,2,1,1,0,0,31,20,11,33,21,12
42,108,公立,技專校院,51,國立臺北商業大學,04141012,國際商務系,22,10,12,1,2,7,5,0,2,2,3,0,0,17,8,9,22,10,12
43,108,公立,技專校院,51,國立臺北商業大學,04199015,商業設計管理系,7,4,3,0,0,3,2,1,1,0,0,0,0,7,4,3,7,4,3
44,108,公立,技專校院,51,國立臺北商業大學,04199021,貿易實務法律暨談判碩士學位學程,3,3,0,2,0,1,0,0,0,0,0,0,0,3,3,0,3,3,0
45,108,公立,技專校院,51,國立臺北商業大學,04199Y70,財經學院博士班,4,4,0,2,0,0,0,2,0,0,0,0,0,4,4,0,4,4,0
46,108,公立,技專校院,51,國立臺北商業大學,06131017,資訊管理系,17,10,7,4,0,4,4,2,0,0,3,0,0,14,10,4,17,10,7
47,108,公立,技專校院,51,國立臺北商業大學,06131018,資訊與決策科學研究所,5,5,0,5,0,0,0,0,0,0,0,0,0,5,5,0,5,5,0
48,108,公立,技專校院,51,國立臺北商業大學,99999Z01,通識教育中心,17,10,7,1,0,2,4,7,1,0,1,0,1,15,10,5,16,10,6
49,108,公立,技專校院,51,國立臺北商業大學,99999Z03,軍訓教官,13,8,5,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0
50,108,公立,技專校院,51,國立臺北商業大學,99999Z07,體育室,8,6,2,2,0,1,0,0,2,2,0,1,0,5,3,2,7,5,2
51,109,公立,技專校院,51,國立臺北商業大學,02112007,數位多媒體設計系,8,4,4,0,0,1,0,3,4,0,0,0,0,8,4,4,8,4,4
52,109,公立,技專校院,51,國立臺北商業大學,02122015,商業設計管理系,8,3,5,0,0,2,2,1,2,0,1,0,0,7,3,4,8,3,5
53,109,公立,技專校院,51,國立臺北商業大學,02122024,創意設計與經營研究所,5,5,0,2,0,1,0,2,0,0,0,0,0,5,5,0,5,5,0
54,109,公立,技專校院,51,國立臺北商業大學,02122026,創意科技與產品設計系,8,5,3,2,1,0,1,3,0,0,1,0,0,7,5,2,8,5,3
55,109,公立,技專校院,51,國立臺北商業大學,02311006,應用外語系,18,6,12,0,3,3,4,3,3,0,2,0,0,16,6,10,18,6,12
56,109,公立,技專校院,51,國立臺北商業大學,04111009,會計資訊系,20,8,12,4,4,2,7,2,0,0,1,0,0,19,8,11,20,8,12
57,109,公立,技專校院,51,國立臺北商業大學,04121013,財務金融系,17,8,9,1,3,6,4,0,1,1,1,0,0,15,7,8,17,8,9
58,109,公立,技專校院,51,國立臺北商業大學,04122014,財政稅務系,15,6,9,2,2,4,4,0,1,0,2,0,0,13,6,7,15,6,9
59,109,公立,技專校院,51,國立臺北商業大學,04131010,企業管理系,32,21,11,4,2,11,6,5,3,1,0,0,0,31,20,11,32,21,11
60,109,公立,技專校院,51,國立臺北商業大學,04141012,國際商務系,24,12,12,4,2,6,5,0,2,2,3,0,0,19,10,9,24,12,12
61,109,公立,技專校院,51,國立臺北商業大學,04191025,財經學院博士班,3,3,0,2,0,0,0,1,0,0,0,0,0,3,3,0,3,3,0
62,109,公立,技專校院,51,國立臺北商業大學,04199021,貿易實務法律暨談判碩士學位學程,3,3,0,2,0,1,0,0,0,0,0,0,0,3,3,0,3,3,0
63,109,公立,技專校院,51,國立臺北商業大學,06131017,資訊管理系,18,11,7,4,0,4,5,3,0,0,2,0,0,16,11,5,18,11,7
64,109,公立,技專校院,51,國立臺北商業大學,06131018,資訊與決策科學研究所,5,5,0,5,0,0,0,0,0,0,0,0,0,5,5,0,5,5,0
65,109,公立,技專校院,51,國立臺北商業大學,99999Z01,通識教育中心,17,10,7,2,0,2,4,6,1,0,1,0,1,15,10,5,16,10,6
66,109,公立,技專校院,51,國立臺北商業大學,99999Z03,軍訓教官,12,8,4,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0
67,109,公立,技專校院,51,國立臺北商業大學,99999Z07,體育室,8,5,3,2,0,0,0,0,3,2,0,1,0,5,2,3,7,4,3
68,110,公立,技專校院,51,國立臺北商業大學,02112007,數位多媒體設計系,9,4,5,1,1,1,0,2,4,0,0,0,0,9,4,5,9,4,5
69,110,公立,技專校院,51,國立臺北商業大學,02122015,商業設計管理系,9,4,5,0,0,3,2,1,2,0,1,0,0,8,4,4,9,4,5
70,110,公立,技專校院,51,國立臺北商業大學,02122024,創意設計與經營研究所,5,5,0,2,0,1,0,2,0,0,0,0,0,5,5,0,5,5,0
71,110,公立,技專校院,51,國立臺北商業大學,02122026,創意科技與產品設計系,7,5,2,1,0,1,1,3,1,0,0,0,0,7,5,2,7,5,2
72,110,公立,技專校院,51,國立臺北商業大學,02311006,應用外語系,15,4,11,0,3,3,4,1,3,0,1,0,0,14,4,10,15,4,11
73,110,公立,技專校院,51,國立臺北商業大學,04111009,會計資訊系,15,7,8,4,5,0,3,3,0,0,0,0,0,15,7,8,15,7,8
74,110,公立,技專校院,51,國立臺北商業大學,04111027,會計與資料科學科,6,2,4,0,0,1,3,1,0,0,1,0,0,5,2,3,6,2,4
75,110,公立,技專校院,51,國立臺北商業大學,04121013,財務金融系,20,10,10,2,4,6,4,1,1,1,1,0,0,18,9,9,20,10,10
76,110,公立,技專校院,51,國立臺北商業大學,04122014,財政稅務系,18,8,10,2,2,5,4,1,2,0,2,0,0,16,8,8,18,8,10
77,110,公立,技專校院,51,國立臺北商業大學,04131010,企業管理系,28,18,10,4,2,9,5,4,3,1,0,0,0,27,17,10,28,18,10
78,110,公立,技專校院,51,國立臺北商業大學,04141012,國際商務系,24,12,12,4,2,6,7,0,0,2,3,0,0,19,10,9,24,12,12
79,110,公立,技專校院,51,國立臺北商業大學,04191025,財經學院博士班,2,2,0,1,0,0,0,1,0,0,0,0,0,2,2,0,2,2,0
80,110,公立,技專校院,51,國立臺北商業大學,04199021,貿易實務法律暨談判碩士學位學程,3,3,0,2,0,1,0,0,0,0,0,0,0,3,3,0,3,3,0
81,110,公立,技專校院,51,國立臺北商業大學,06131017,資訊管理系,19,13,6,4,0,4,4,5,0,0,2,0,0,17,13,4,19,13,6
82,110,公立,技專校院,51,國立臺北商業大學,06131018,資訊與決策科學研究所,5,5,0,5,0,0,0,0,0,0,0,0,0,5,5,0,5,5,0
83,110,公立,技專校院,51,國立臺北商業大學,99999Z01,通識教育中心,15,10,5,2,0,2,4,5,0,1,0,0,1,13,9,4,14,10,4
84,110,公立,技專校院,51,國立臺北商業大學,99999Z03,軍訓教官,11,8,3,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0
85,110,公立,技專校院,51,國立臺北商業大學,99999Z07,體育室,9,7,2,2,0,2,0,0,2,2,0,1,0,6,4,2,8,6,2
86,111,公立,技專校院,51,國立臺北商業大學,02112007,數位多媒體設計系,9,5,4,0,0,3,0,2,4,0,0,0,0,9,5,4,9,5,4
87,111,公立,技專校院,51,國立臺北商業大學,02122015,商業設計管理系,10,4,6,0,0,3,2,1,3,0,1,0,0,9,4,5,10,4,6
88,111,公立,技專校院,51,國立臺北商業大學,02122024,創意設計與經營研究所,5,5,0,2,0,1,0,2,0,0,0,0,0,5,5,0,5,5,0
89,111,公立,技專校院,51,國立臺北商業大學,02122026,創意科技與產品設計系,9,5,4,2,1,1,1,2,2,0,0,0,0,9,5,4,9,5,4
90,111,公立,技專校院,51,國立臺北商業大學,02311006,應用外語系,15,4,11,0,4,3,3,1,2,0,2,0,0,13,4,9,15,4,11
91,111,公立,技專校院,51,國立臺北商業大學,04111009,會計資訊系,14,6,8,4,4,0,4,2,0,0,0,0,0,14,6,8,14,6,8
92,111,公立,技專校院,51,國立臺北商業大學,04111027,會計與資料科學科,6,3,3,0,0,1,2,1,0,1,1,0,0,4,2,2,6,3,3
93,111,公立,技專校院,51,國立臺北商業大學,04121013,財務金融系,21,11,10,3,4,6,4,1,1,1,1,0,0,19,10,9,21,11,10
94,111,公立,技專校院,51,國立臺北商業大學,04122014,財政稅務系,18,10,8,2,2,6,4,2,1,0,1,0,0,17,10,7,18,10,8
95,111,公立,技專校院,51,國立臺北商業大學,04131010,企業管理系,34,23,11,4,2,11,4,7,5,1,0,0,0,33,22,11,34,23,11
96,111,公立,技專校院,51,國立臺北商業大學,04141012,國際商務系,23,11,12,4,2,5,7,0,0,2,3,0,0,18,9,9,23,11,12
97,111,公立,技專校院,51,國立臺北商業大學,04191025,財經學院博士班,3,2,1,1,1,1,0,0,0,0,0,0,0,3,2,1,3,2,1
98,111,公立,技專校院,51,國立臺北商業大學,04199021,貿易實務法律暨談判碩士學位學程,2,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0
99,111,公立,技專校院,51,國立臺北商業大學,06131017,資訊管理系,19,14,5,4,0,4,4,6,0,0,1,0,0,18,14,4,19,14,5
100,111,公立,技專校院,51,國立臺北商業大學,06131018,資訊與決策科學研究所,5,5,0,5,0,0,0,0,0,0,0,0,0,5,5,0,5,5,0
101,111,公立,技專校院,51,國立臺北商業大學,99999Z01,通識教育中心,14,8,6,2,1,3,3,3,1,0,0,0,1,13,8,5,13,8,5
102,111,公立,技專校院,51,國立臺北商業大學,99999Z03,軍訓教官,11,8,3,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0
103,111,公立,技專校院,51,國立臺北商業大學,99999Z07,體育室,9,7,2,2,0,2,1,0,1,2,0,1,0,6,4,2,8,6,2
104,112,公立,技專校院,51,國立臺北商業大學,02112007,數位多媒體設計系,8,5,3,0,0,3,0,2,3,0,0,0,0,8,5,3,8,5,3
105,112,公立,技專校院,51,國立臺北商業大學,02122015,商業設計管理系,8,3,5,0,0,3,3,0,2,0,0,0,0,8,3,5,8,3,5
106,112,公立,技專校院,51,國立臺北商業大學,02122024,創意設計與經營研究所,5,5,0,2,0,2,0,1,0,0,0,0,0,5,5,0,5,5,0
107,112,公立,技專校院,51,國立臺北商業大學,02122026,創意科技與產品設計系,8,4,4,1,1,1,1,2,2,0,0,0,0,8,4,4,8,4,4
108,112,公立,技專校院,51,國立臺北商業大學,02311006,應用外語系,15,4,11,0,4,3,2,1,4,0,1,0,0,14,4,10,15,4,11
109,112,公立,技專校院,51,國立臺北商業大學,04111009,會計資訊系,16,6,10,4,4,0,5,1,1,1,0,0,0,15,5,10,16,6,10
110,112,公立,技專校院,51,國立臺北商業大學,04111027,會計與資料科學科,6,3,3,0,1,1,1,2,0,0,1,0,0,5,3,2,6,3,3
111,112,公立,技專校院,51,國立臺北商業大學,04121013,財務金融系,20,11,9,3,4,6,3,2,1,0,1,0,0,19,11,8,20,11,9
112,112,公立,技專校院,51,國立臺北商業大學,04122014,財政稅務系,18,10,8,2,2,6,4,2,1,0,1,0,0,17,10,7,18,10,8
113,112,公立,技專校院,51,國立臺北商業大學,04131010,企業管理系,32,18,14,6,0,4,5,7,9,1,0,0,0,31,17,14,32,18,14
114,112,公立,技專校院,51,國立臺北商業大學,04141012,國際商務系,25,13,12,5,3,5,6,1,0,2,3,0,0,20,11,9,25,13,12
115,112,公立,技專校院,51,國立臺北商業大學,04191025,財經學院博士班,2,2,0,1,0,1,0,0,0,0,0,0,0,2,2,0,2,2,0
116,112,公立,技專校院,51,國立臺北商業大學,04199021,貿易實務法律暨談判碩士學位學程,2,2,0,1,0,0,0,1,0,0,0,0,0,2,2,0,2,2,0
117,112,公立,技專校院,51,國立臺北商業大學,06131017,資訊管理系,20,16,4,4,0,6,2,6,1,0,1,0,0,19,16,3,20,16,4
118,112,公立,技專校院,51,國立臺北商業大學,06131018,資訊與決策科學研究所,7,7,0,6,0,0,0,1,0,0,0,0,0,7,7,0,7,7,0
119,112,公立,技專校院,51,國立臺北商業大學,99999Z01,通識教育中心,20,13,7,2,2,5,4,6,0,0,0,0,1,19,13,6,19,13,6
120,112,公立,技專校院,51,國立臺北商業大學,99999Z03,軍訓教官,12,9,3,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0
121,112,公立,技專校院,51,國立臺北商業大學,99999Z07,體育室,12,7,5,3,1,3,2,0,2,0,0,1,0,11,6,5,11,6,5
